what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581412934713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412975006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412976186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412976736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412978486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412985174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412985704
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581412986244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412986554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581412993153
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581412995783
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413017829
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413018179
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581413021349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413025789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413028184
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413033223
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413034852
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581413037432
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.bspEditor",1581413045021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413045301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413052729
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581413053669
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413055819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413057759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413069707
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581413069727
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581413073786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413074116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413080485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413087294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413089174
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1581413089184
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413095693
