what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579778690029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778693039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778724420
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1579778724440
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778733231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579778736702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778743336
error,log,,,"Target request failed: Warning:\\nCannot insert breakpoint -1.\\nError accessing memory address 0x4000194: (undocumented errno -1).\\nCannot insert breakpoint 1.\\nError accessing memory address 0x40001f0: (undocumented errno -1).\\n.",1579778743366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778753157
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1579778753217
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778753217
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1579778756567
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1579778761148
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.cPerspective",1579778765141
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778765151
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1579778771251
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579778773052
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778777785
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579778777795
error,log,,,"Target request failed: Warning:\\nCannot insert breakpoint -1.\\nError accessing memory address 0x4000194: (undocumented errno -1).\\nCannot insert breakpoint 1.\\nError accessing memory address 0x40001f0: (undocumented errno -1).\\n.",1579778779536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778779546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778782346
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.cPerspective",1579778785426
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778785436
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1579778786526
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1579778793376
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1579778793586
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1579778793836
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1579778793976
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1579778803297
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1579778804017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778806917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778808097
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778812342
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579778815823
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1579778816083
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579778816093
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579778816233
error,log,,,"Target request failed: Warning:\\nCannot insert breakpoint -1.\\nError accessing memory address 0x4000194: (undocumented errno -1).\\nCannot insert breakpoint 1.\\nError accessing memory address 0x40001f0: (undocumented errno -1).\\n.",1579778822467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778822487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579778824217
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1579778824947
