what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779775427
error,log,,,"Target request failed: Remote communication error: No error.",1579779779678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779783269
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1579779783299
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579779784619
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1579779790589
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579779790599
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1579779791949
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1579779792019
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.cPerspective",1579779793192
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579779793202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779800232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779802692
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1579779803452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779811362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779885122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779889312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779890932
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1579779890942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779891262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779892232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779892522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779894562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779897122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779897232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779908572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779909132
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1579779909142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779909822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779910272
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1579779912132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779916712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779919312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779924612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779948482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779949772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779949812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779949822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779951722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779955432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779962172
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579779965092
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579779965842
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 134",1579779976088
error,log,,,"Downloading ELF Process failed",1579779976088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779976098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779977838
executed,command,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project.commands.bspEditor",1579779990598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779990858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579779995858
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1579779996608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780000128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780060658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780065438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780073198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780079938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780080758
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1579780080768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780081098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780081738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780082278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780084318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780098388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780100298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780108638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780108678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780108688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780109978
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1579780109988
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1579780113858
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1579780113908
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1579780113908
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1579780114898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780121128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579780126958
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1579780126968
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579780130158
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579780132880
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579780138843
