what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, --reset-target, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 139",1579776478965
error,log,,,"Downloading ELF Process failed",1579776478965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776478975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776484696
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1579776486586
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1579776486606
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579776487646
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1579776490676
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579776491216
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579776511367
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579776513369
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x8109040] return code: 139",1579776514309
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, --reset-target, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 139",1579776518121
error,log,,,"Downloading ELF Process failed",1579776518121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776518131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776521721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776532792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776544272
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1579776547372
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1579776549374
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x8109040] return code: 139",1579776550324
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x8109040, /cygdrive/c/Users/qforcio/Desktop/A3/TP1/PARTIE2/sys_emb/software/hello_world2/hello_world2.elf] return code: 139",1579776554086
error,log,,,"Downloading ELF Process failed",1579776554086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776554096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776565747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776622449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776752343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776753473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776755243
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1579776755313
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1579776755403
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1579776755533
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1579776755533
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1579776755533
